dir,name,type,size
C:\Users\admin\Desktop\GIT repo\HW8\testdir\,lections_presentations,folder,2792672
C:\Users\admin\Desktop\GIT repo\HW8\testdir\,seminar8_files,folder,1659
C:\Users\admin\Desktop\GIT repo\HW8\testdir\,Семинар 8. Сериализация.pdf,file,2633890
C:\Users\admin\Desktop\GIT repo\HW8\testdir\lections_presentations,readme,folder,14
C:\Users\admin\Desktop\GIT repo\HW8\testdir\lections_presentations,Лекция 8. Сериализация (методичка).pdf,file,437252
C:\Users\admin\Desktop\GIT repo\HW8\testdir\lections_presentations,Лекция 8. Сериализация (презентация).pdf,file,2355406
C:\Users\admin\Desktop\GIT repo\HW8\testdir\lections_presentations\readme,README.md,file,14
C:\Users\admin\Desktop\GIT repo\HW8\testdir\seminar8_files,ex4.json,file,646
C:\Users\admin\Desktop\GIT repo\HW8\testdir\seminar8_files,ex5.pickle,file,535
C:\Users\admin\Desktop\GIT repo\HW8\testdir\seminar8_files,ex6.csv,file,478
